Date,Open
2021-09-01,4528.7998046875
2021-09-02,4534.47998046875
2021-09-03,4532.419921875
2021-09-07,4535.3798828125
2021-09-08,4518.08984375
2021-09-09,4513.02001953125
2021-09-10,4506.919921875
2021-09-13,4474.81005859375
2021-09-14,4479.330078125
2021-09-15,4447.490234375
2021-09-16,4477.08984375
2021-09-17,4469.740234375
2021-09-20,4402.9501953125
2021-09-21,4374.4501953125
2021-09-22,4367.43017578125
2021-09-23,4406.75
2021-09-24,4438.0400390625
2021-09-27,4442.1201171875
2021-09-28,4419.5400390625
2021-09-29,4362.41015625
2021-09-30,4370.669921875
2021-10-01,4317.16015625
2021-10-04,4348.83984375
2021-10-05,4309.8701171875
2021-10-06,4319.56982421875
2021-10-07,4383.72998046875
2021-10-08,4406.509765625
2021-10-11,4385.43994140625
2021-10-12,4368.31005859375
2021-10-13,4358.009765625
2021-10-14,4386.75
2021-10-15,4447.68994140625
2021-10-18,4463.72021484375
2021-10-19,4497.33984375
2021-10-20,4524.419921875
2021-10-21,4532.240234375
2021-10-22,4546.1201171875
2021-10-25,4553.68994140625
2021-10-26,4578.68994140625
2021-10-27,4580.22021484375
2021-10-28,4562.83984375
2021-10-29,4572.8701171875
2021-11-01,4610.6201171875
2021-11-02,4613.33984375
2021-11-03,4630.64990234375
2021-11-04,4662.93017578125
2021-11-05,4699.259765625
2021-11-08,4701.47998046875
2021-11-09,4707.25
2021-11-10,4670.259765625
2021-11-11,4659.39013671875
2021-11-12,4655.240234375
2021-11-15,4689.2998046875
2021-11-16,4679.419921875
2021-11-17,4701.5
2021-11-18,4700.72021484375
2021-11-19,4708.43994140625
2021-11-22,4712.0
2021-11-23,4678.47998046875
2021-11-24,4675.77978515625
2021-11-26,4664.6298828125
2021-11-29,4628.75
2021-11-30,4640.25
2021-12-01,4602.81982421875
2021-12-02,4504.72998046875
2021-12-03,4589.490234375
2021-12-06,4548.3701171875
2021-12-07,4631.97021484375
2021-12-08,4690.85986328125
2021-12-09,4691.0
2021-12-10,4687.64013671875
2021-12-13,4710.2998046875
2021-12-14,4642.990234375
2021-12-15,4636.4599609375
2021-12-16,4719.1298828125
2021-12-17,4652.5
2021-12-20,4587.89990234375
2021-12-21,4594.9599609375
2021-12-22,4650.35986328125
2021-12-23,4703.9599609375
2021-12-27,4733.990234375
2021-12-28,4795.490234375
2021-12-29,4788.64013671875
2021-12-30,4794.22998046875
2021-12-31,4775.2099609375
2022-01-03,4778.14013671875
2022-01-04,4804.509765625
2022-01-05,4787.990234375
2022-01-06,4693.39013671875
2022-01-07,4697.66015625
2022-01-10,4655.33984375
2022-01-11,4669.14013671875
2022-01-12,4728.58984375
2022-01-13,4733.56005859375
2022-01-14,4637.990234375
2022-01-18,4632.240234375
2022-01-19,4588.02978515625
2022-01-20,4547.35009765625
2022-01-21,4471.3798828125
2022-01-24,4356.31982421875
2022-01-25,4366.64013671875
2022-01-26,4408.43017578125
2022-01-27,4380.580078125
2022-01-28,4336.18994140625
2022-01-31,4431.7900390625
2022-02-01,4519.56982421875
2022-02-02,4566.39013671875
2022-02-03,4535.41015625
2022-02-04,4482.7900390625
2022-02-07,4505.75
2022-02-08,4480.02001953125
2022-02-09,4547.0
2022-02-10,4553.240234375
2022-02-11,4506.27001953125
2022-02-14,4412.60986328125
2022-02-15,4429.27978515625
2022-02-16,4455.75
2022-02-17,4456.06005859375
2022-02-18,4384.56982421875
2022-02-22,4332.740234375
2022-02-23,4324.93017578125
2022-02-24,4155.77001953125
2022-02-25,4298.3798828125
2022-02-28,4354.169921875
2022-03-01,4363.14013671875
2022-03-02,4322.56005859375
2022-03-03,4401.31005859375
2022-03-04,4342.1201171875
2022-03-07,4327.009765625
2022-03-08,4202.66015625
2022-03-09,4223.10009765625
2022-03-10,4252.5498046875
2022-03-11,4279.5
2022-03-14,4202.75
2022-03-15,4188.81982421875
2022-03-16,4288.14013671875
2022-03-17,4345.10986328125
2022-03-18,4407.33984375
2022-03-21,4462.39990234375
2022-03-22,4469.10009765625
2022-03-23,4493.10009765625
2022-03-24,4469.97998046875
2022-03-25,4522.91015625
2022-03-28,4541.08984375
2022-03-29,4602.85986328125
2022-03-30,4624.2001953125
2022-03-31,4599.02001953125
2022-04-01,4540.31982421875
2022-04-04,4547.97021484375
2022-04-05,4572.4501953125
2022-04-06,4494.169921875
2022-04-07,4474.64990234375
2022-04-08,4494.14990234375
2022-04-11,4462.64013671875
2022-04-12,4437.58984375
2022-04-13,4394.2998046875
2022-04-14,4449.1201171875
2022-04-18,4385.6298828125
2022-04-19,4390.6298828125
2022-04-20,4472.259765625
2022-04-21,4489.169921875
2022-04-22,4385.830078125
2022-04-25,4255.33984375
2022-04-26,4278.14013671875
2022-04-27,4186.52001953125
2022-04-28,4222.580078125
2022-04-29,4253.75
2022-05-02,4130.60986328125
2022-05-03,4159.77978515625
2022-05-04,4181.18017578125
2022-05-05,4270.43017578125
2022-05-06,4128.169921875
2022-05-09,4081.27001953125
2022-05-10,4035.179931640625
2022-05-11,3990.080078125
2022-05-12,3903.949951171875
2022-05-13,3963.89990234375
2022-05-16,4013.02001953125
2022-05-17,4052.0
2022-05-18,4051.97998046875
2022-05-19,3899.0
2022-05-20,3927.760009765625
2022-05-23,3919.419921875
2022-05-24,3942.93994140625
2022-05-25,3929.590087890625
2022-05-26,3984.60009765625
2022-05-27,4077.429931640625
2022-05-31,4151.08984375
2022-06-01,4149.77978515625
2022-06-02,4095.409912109375
2022-06-03,4137.56982421875
2022-06-06,4134.72021484375
2022-06-07,4096.47021484375
2022-06-08,4147.1201171875
2022-06-09,4101.64990234375
2022-06-10,3974.389892578125
2022-06-13,3838.14990234375
2022-06-14,3763.52001953125
2022-06-15,3764.050048828125
2022-06-16,3728.179931640625
2022-06-17,3665.89990234375
2022-06-21,3715.31005859375
2022-06-22,3733.889892578125
2022-06-23,3774.7099609375
2022-06-24,3821.75
2022-06-27,3920.760009765625
2022-06-28,3913.0
2022-06-29,3825.090087890625
2022-06-30,3785.989990234375
2022-07-01,3781.0
2022-07-05,3792.610107421875
2022-07-06,3831.97998046875
2022-07-07,3858.85009765625
